movieId,imdbId,doubanId
0,,6395463
1,1201607,3011235
2,0765128,3443389
3,,6778368
4,1399103,3610047
5,1302011,3233635
6,,4843637
7,,4888374
8,,4915107
9,,4271894
10,1533117,3742360
11,1193631,3000078
12,,3732780
13,0464154,2269893
14,,5337953
15,1187043,3793023
16,,3745292
17,1247676,3114200
18,1123373,3412830
19,1375666,3541415
20,0118799,1292063
21,,3737102
22,1178197,3299241
23,,4305436
24,1291125,3217122
25,,3629232
26,0810784,2072848
27,0297414,1308451
28,0474642,1799000
29,1403981,3626365
30,0356150,1308773
31,0345672,2994843
32,0358741,1921917
33,0222743,1889643
34,0179011,1860073
35,,4837832
36,0487563,1844079
37,,3371652
38,,3818971
39,,3899162
40,,3823881
41,,4058796
42,0376541,1308974
43,0401711,1783772
44,0940657,1981642
45,0344854,1578685
46,0261725,1480808
47,,4271814
48,,2378635
49,0368644,1417432
50,,4158024
51,1419113,3728249
52,0475730,1873374
53,0079986,1432639
54,0469078,1470732
55,1377575,3566709
56,1334585,3338821
57,0119133,1963965
58,0874952,1987463
59,0355439,1316626
60,0048434,1298270
61,0098481,1422233
62,0084362,1464067
63,0820033,1863758
64,0480465,1793236
65,0428024,1459455
66,,1935787
67,1446067,1889906
68,1496029,4195569
69,0423149,1962623
70,0107574,1466602
71,1490530,4204586
72,,4154555
73,0096880,1408100
74,0479113,1756584
75,0048980,1326038
76,0933357,1963066
77,0207639,1302930
78,0279079,1300395
79,0983242,3291178
80,1323941,3436615
81,1361566,3560787
82,1259571,3148027
83,1519640,4066206
84,0282628,1304900
85,0337024,1307072
86,0988045,2998270
87,1028532,3011091
88,0441052,2002924
89,0455275,1419297
90,,2085721
91,0099487,1292370
92,0108052,1295124
93,0211915,1292215
94,0429591,1580620
95,0269546,1316563
96,0120338,1292722
97,1054606,2282449
98,0364517,1308817
99,0367594,1309101
100,0899106,2335116
101,1562328,3824672
102,0380510,1892531
103,1185836,3059036
104,0499549,1652587
105,0452694,1885124
106,1134629,2299395
107,1328865,3305722
108,1403130,3626416
109,1190080,3005875
110,0816545,1920799
111,1022603,3072086
112,0330600,3080024
113,1034325,2136477
114,0462590,1829230
115,1023481,2300450
116,1136608,3006772
117,0847754,2121860
118,0478829,1900840
119,0167261,1291572
120,0120737,1291571
121,0167260,1291552
122,0406110,1308798
123,0367174,1308587
124,0910970,2131459
125,0758758,1905462
126,0472160,1914652
127,1245104,3111355
128,0441773,1783457
129,0959337,2037012
130,0215240,1292289
131,0419887,1937502
132,0421715,1485260
133,0452643,1890157
134,1352421,3284269
135,0431308,1920796
136,0962726,2215609
137,1080016,2357162
138,0765120,1499148
139,1099212,2268359
140,0332280,1309163
141,0281358,1306213
142,0414387,1418200
143,0416508,1920805
144,0446755,1441238
145,0410297,1474180
146,0497465,1981242
147,0981227,2910660
148,0457430,1767042
149,1267160,3158990
150,0111161,1292052
151,0113703,1292220
152,0907657,2053515
153,,5040971
154,,5196451
155,0121164,1309060
156,1049413,2129039
157,0110008,1303907
158,,3543940
159,1422340,3730702
160,1422344,3730636
161,1232831,3074408
162,1179271,2976111
163,0810827,1796939
164,,3880545
165,0113356,1299765
166,0387514,1428069
167,,4023638
168,,5250583
169,,4822848
170,0947798,1978709
171,,4097023
172,,2156154
173,,3269018
174,,4145476
175,1264904,3157605
176,,3660583
177,0452608,2132412
178,,4271832
179,1330607,3313801
180,0119698,1297359
181,,3195100
182,0245429,1291561
183,,3569915
184,0095327,1293318
185,0876563,1959877
186,0397101,1418752
187,,5344178
188,,3041281
189,1554523,4151110
190,1027718,3103683
191,,4051768
192,0116483,1292647
193,0455760,1895120
194,0892318,3346464
195,0101540,1299107
196,1375670,3563200
197,,4111416
198,1220634,3041294
199,,3072185
200,1456661,3792816
201,,3813779
202,0089371,1295933
203,0120791,1294995
204,,4312232
205,,1305542
206,1323045,3285088
207,0105859,1292287
208,0081782,1484633
209,,3402174
210,1241017,3158451
211,1517633,3804470
212,,4732320
213,0102932,1298040
214,0100625,1296629
215,0093978,1297447
216,0997152,3805091
217,,4023433
218,,3009165
219,0106343,1294564
220,0106342,1293765
221,0426196,1308808
222,1320253,3279080
223,,4133814
224,1139328,3120852
225,,4723944
226,,4134631
227,,4173583
228,1038919,3673923
229,1017460,2301701
230,0800320,2131654
231,,4237879
232,,3074503
233,1535495,4133988
234,0815236,3006424
235,,3150816
236,,3792799
237,1045772,2361823
238,0314331,1292401
239,0780653,2132477
240,0287155,1308345
241,0438097,1437342
242,0268380,1291578
243,0892769,2353023
244,,3114117
245,,3820191
246,1425257,3736637
247,1220719,3041806
248,1386932,3578981
249,0817928,1918547
250,1129428,3225319
251,,4062922
252,1250777,3148748
253,1447800,3777800
254,1385867,3569954
255,1130884,2334904
256,1058017,3440481
257,0875034,2257759
258,1232783,3072894
259,,3327339
260,1131734,2295401
261,0111797,1291818
262,0118880,1300618
263,0358082,1309011
264,0423881,1693078
265,0416449,1853176
266,1148204,3011308
267,0795351,2057552
268,1156398,3259993
269,0308379,1305324
270,0315327,1297018
271,0377092,1309084
272,1024255,2251924
273,0255798,1304607
274,0302640,1305804
275,0482527,1929497
276,0397078,1509868
277,0118971,1298909
278,1442571,3754946
279,0100137,1308215
280,1456520,3804746
281,0251160,1306439
282,0098635,1291842
283,,1872628
284,1521846,4122701
285,,4111335
286,,3829512
287,1313104,3442220
288,1186371,2997155
289,1511528,3304014
290,1475330,3670447
291,1303833,3240208
292,1308138,3264045
293,1196339,3101989
294,1360795,3550132
295,1208717,3041753
296,0844471,3102668
297,0456821,1396313
298,0898266,2156528
299,1343046,3387546
300,1235099,3103678
301,1434423,3734112
302,1365441,3447591
303,1349853,3412882
304,1286562,3212120
305,0984130,2081098
306,1093908,2338058
307,0974661,2213591
308,0172493,1296185
309,0464141,2122766
310,0963743,3001472
311,0372824,1291549
312,1001508,2161696
313,1292575,3126187
314,1124052,2294568
315,0495824,3023155
316,0478311,1950198
317,0762107,1949320
318,0389860,1474185
319,0386588,1309020
320,0343660,1309172
321,1379169,3552301
322,0120382,1292064
323,0756222,1866462
324,0901476,2054026
325,0887883,2054933
326,0976051,2213597
327,1000774,2082013
328,0851515,2124703
329,0293895,1298346
330,0233600,1307043
331,0243876,1307868
332,0366720,1307849
333,0374009,1304282
334,0351887,1307740
335,0406221,1438093
336,0340047,1299035
337,0395969,1388196
338,0379975,1302769
339,0366371,1299649
340,0380069,1306334
341,0345685,1300246
342,0375934,1308232
343,0404001,1308827
344,0311364,1305713
345,0259741,1297291
346,0114440,1308130
347,1000775,2052978
348,1156506,2359431
349,1055300,2135981
350,0489237,1892510
351,0988595,2132120
352,0403508,1309203
353,0120783,1297102
354,0337563,1309086
355,0322330,1307955
356,0247638,1305065
357,0382625,1329950
358,0356910,1309199
359,0458352,1482072
360,0464636,1417753
361,0395677,1390022
362,0395140,1390021
363,1010048,2209573
364,0167404,1297630
365,0348568,1304073
366,0811106,1824412
367,0392878,3003137
368,0312932,1300616
369,0380689,1308810
370,0427411,1310170
371,0416080,1389980
372,0106538,1400665
373,0212864,1304677
374,0133059,1293607
375,0188766,1302425
376,0114996,1292213
377,0112778,1299398
378,0101763,1300566
379,0103328,1299680
380,0104147,1298644
381,0112446,1300498
382,0103045,1302090
383,0373074,1291543
384,0116426,1293351
385,0110201,1297518
386,0104771,1306951
387,0100963,1297863
388,0104770,1297223
389,0116014,1329936
390,0108289,1306249
391,0843270,1862151
392,0387564,1417598
393,0286797,1303203
394,0272362,1308111
395,0415872,1308838
396,0341495,1307762
397,0300620,1300608
398,0455116,1393479
399,0386005,1306160
400,0213314,1294927
401,0368894,1305265
402,0367104,1308655
403,0390272,1308749
404,0117905,1305164
405,0109424,1291999
406,0212712,1291555
407,0454914,1418070
408,0834902,1867408
409,0841150,1890784
410,0374339,1307694
411,0369060,1307106
412,0338564,1307914
413,0439884,1291550
414,0109830,1292720
415,0110413,1295644
416,0365376,1308047
417,0475590,1427789
418,0114688,1482366
419,0397065,1309184
420,0366292,1455849
421,0367913,1308554
422,0178868,1307696
423,0488174,1461124
424,1058008,2302162
425,1307057,3529375
426,0440803,1773217
427,0870958,2054070
428,0470967,1428344
429,0468683,1431755
430,0415689,1308829
431,0455135,1309217
432,0324242,1307488
433,0316023,1303184
434,0325655,1296026
435,0472458,1418919
436,0344290,1305114
437,0364385,1306808
438,0414982,1436870
439,0309593,1307956
440,0195714,1300300
441,0123755,1305903
442,0309698,1297192
443,0289765,1305053
444,0367959,1482055
445,0448157,1949312
446,0783233,1950148
447,0396171,1760622
448,0424136,1484091
449,0467406,2132495
450,0169547,1292062
451,0103772,1291869
452,0212985,1301746
453,0102926,1293544
454,0362227,1292274
455,1287845,3215640
456,0816397,1817253
457,0108074,1316510
458,1483421,3811342
459,,6110548
460,0332136,1440703
461,,3319755
462,,4739952
463,1405406,3646523
464,0944835,2153526
465,0914863,2275370
466,,3592845
467,,3986493
468,1196141,3003836
469,1210042,3057495
470,1139797,2968813
471,0273366,1476422
472,1438461,3543690
473,1247640,3114109
474,0417741,1433330
475,0472198,2133403
476,0343121,1304939
477,0315733,1308599
478,0195945,1299901
479,0293815,1304027
480,0368578,1308996
481,0422774,1982087
482,1055369,2146991
483,0484468,4167113
484,,1428581
485,,4202302
486,,2157130
487,0053363,1298893
488,0260932,1473074
489,0069881,1307821
490,0353969,1300299
491,0091042,1295437
492,,1298394
493,0022913,1295942
494,,2153480
495,0074811,1297399
496,,3057368
497,,4914642
498,,5951231
499,,4889194
500,,1931974
501,,4189360
502,0070464,1296105
503,,2223042
504,,5961578
505,0071577,1297239
506,1086289,2345106
507,1098226,2263102
508,1334260,3321409
509,,4905037
510,0043014,1298733
511,,4189694
512,,4135704
513,,4258537
514,0101020,1295409
515,0114814,1292214
516,0050083,1293182
517,0325055,1307503
518,0063522,1293852
519,0069518,1302128
520,0827972,1863941
521,1131729,3007773
522,0070735,1292269
523,0054189,1305080
524,0101316,1291868
525,0113824,1297052
526,0097436,1472337
527,0120879,1294136
528,0439123,1950821
529,0446242,2118341
530,0101700,1306666
531,0412536,2034997
532,0326835,1309106
533,0072208,1301025
534,,2171080
535,0491044,2976123
536,0245712,1292216
537,0083908,1300266
538,0411427,1309061
539,0275491,1291878
540,,2342558
541,0163978,1293019
542,0140888,1292218
543,0047396,1299080
544,0347149,1308807
545,0042876,1291879
546,0248654,1353727
547,,2214123
548,,2282511
549,,2190934
550,,2241523
551,,2983434
552,,2155195
553,,2155359
554,,2153523
555,0467200,1863955
556,1232106,3072883
557,0468704,1433360
558,0114369,1292223
559,0354964,1434172
560,0431528,1786833
561,0457542,1786753
562,1194582,3002819
563,0996605,2056653
564,0940709,1961963
565,0437526,2001298
566,0464625,1764730
567,,2972166
568,0475293,1765009
569,0385752,1585146
570,0073114,1293870
571,0283832,1299292
572,0033238,1293964
573,0081933,1807959
574,0069576,1782004
575,,1883755
576,0098147,1300082
577,0218922,1302303
578,0462538,1851906
579,0160127,1293258
580,0299977,1306123
581,0430772,1366853
582,0306651,1306319
583,0324518,1306983
584,0286098,1308338
585,0145628,1781636
586,,1428576
587,,1431718
588,,1428577
589,0470128,1461981
590,0229539,1298874
591,0303260,1308078
592,0114243,1305034
593,0297928,1297187
594,0306034,1840219
595,4589726,2139532
596,0127536,1296223
597,0378897,1340528
598,,2160385
599,0414720,1793230
600,0758790,2027742
601,0240890,1305541
602,0308559,1305902
603,,2132220
604,0090206,1303057
605,0450188,1898223
606,,1407147
607,0185906,1307847
608,0071562,1299131
609,0454921,1849031
610,0470263,1426819
611,0333682,1307979
612,0843229,1863947
613,1110246,3033864
614,,1461985
615,,2279772
616,0480249,1820156
617,1159223,3026005
618,0092965,1299811
619,0481141,1947144
620,0368709,1419933
621,0416320,1433577
622,0758766,1937401
623,0297163,1422244
624,0808357,1828115
625,4687986,2062576
626,0924003,1949811
627,0897287,1926007
628,1121801,2278017
629,1059200,2153579
630,0076580,1837656
631,0139134,1298299
632,,1940867
633,1107807,2263112
634,0075314,1292222
635,0233338,1968376
636,0287467,1292211
637,0074292,1298917
638,0050091,1297254
639,0106936,1297763
640,0114388,1299193
641,0309987,1291856
642,0118308,1440901
643,0081494,1302531
644,0462414,1369747
645,0313028,1761848
646,0973844,2027945
647,0825355,1876781
648,,2357421
649,0355295,1309053
650,0872022,1915403
651,0250494,1304854
652,0329717,1307202
653,0103935,1307561
654,0496806,1471507
655,0441912,1316511
656,0448621,1316698
657,0860387,1890558
658,0826711,1856436
659,,2125071
660,,2033877
661,0940642,2037796
662,0485976,1859036
663,0417148,1482080
664,0465551,1914787
665,0430357,1449962
666,0106226,1301465
667,0492650,1466910
668,0902249,1927686
669,0482571,1780330
670,0348591,1308596
671,0243255,1308525
672,0230534,1305797
673,0422720,1476023
674,0326450,1308241
675,0113362,1301679
676,0329042,1427621
677,0256415,1307187
678,0117797,1307793
679,0333764,1308575
680,0293116,1326206
681,0410764,1419992
682,0416073,1325399
683,0428870,1308804
684,0390205,1395231
685,0407851,1308820
686,0119381,1300769
687,0118884,1295647
688,0107428,1300265
689,0429078,1401205
690,0317705,1291577
